,source,src_options_paths
269,process:::current_approvals:::build_raw_tables,0
270,process:::current_approvals:::join_approval_candidates,0
271,process:::current_approvals_dedup:::build_card_sales_all,0
272,process:::current_approvals_raw:::build_card_sales_all,0
273,process:::current_payments:::payments,0
274,process:::current_pos_payments:::pos_add_visit_order,0
275,process:::current_pos_payments_approved:::pos_add_visit_order,0
276,process:::current_pos_payments_approved_v2:::pos_add_visit_order,0
277,process:::current_pos_payments_canceled:::pos_add_visit_order,0
278,process:::current_pos_payments_canceled_v2:::pos_add_visit_order,0
279,process:::current_purchase_candidates:::build_card_sales_all,0
280,process:::current_purchase_candidates:::build_matched_tables,0
281,process:::current_purchase_candidates:::join_purchase_candidates,0
282,process:::current_purchases:::build_card_sales_all,0
283,process:::current_purchases:::build_matched_tables,0
284,process:::current_purchases:::build_raw_tables,0
285,process:::current_purchases:::join_purchase_candidates,0
286,process:::current_purchases:::purchases,0
287,process:::current_purchases_dedup:::build_card_sales_all,0
288,process:::current_purchases_raw:::build_card_sales_all,0
289,process:::current_purchases_reformat:::build_card_sales_all,0
290,process:::current_stat:::message_stat,0
291,process:::current_stat:::message_stat_init,0
292,process:::current_transactions:::build_card_sales_all,0
293,process:::current_transactions:::build_matched_tables,0
294,process:::current_transactions:::match_to_transactions,0
295,process:::current_txs_approved:::add_visit_orders,0
296,process:::current_txs_cancelled:::add_visit_orders,0
297,process:::current_visits_approved:::pos_add_visit_order,0
298,process:::current_visits_approved_v2:::pos_add_visit_order,0
299,process:::current_visits_canceled:::pos_add_visit_order,0
300,process:::current_visits_canceled_v2:::pos_add_visit_order,0
301,process:::custom_set_all:::cashnote_custom_set,0
302,process:::custom_set_all:::paynote_custom_set,0
303,process:::custom_set_new:::cashnote_custom_set,0
304,process:::custom_set_new:::paynote_custom_set,0
305,process:::custom_set_values:::cashnote_custom_set,0
306,process:::custom_set_values:::paynote_custom_set,0
307,process:::customer_invoices_date:::dump_incremental,0
308,process:::customer_transactions_date:::dump_incremental,0
309,process:::daily_card_purchases_stat:::build_card_purchases_stat,0
310,process:::daily_card_sales:::build_daily_report,0
311,process:::daily_card_sales:::build_daily_reports,0
312,process:::daily_delivery_app_sales:::build_daily_reports,0
313,process:::daily_delivery_apps_order_stats:::delivery_app_orders_stat,0
314,process:::daily_delivery_orders_stat:::daily_delivery_orders_stat,0
315,process:::daily_hour_transactions_stat:::build_daily_report,0
316,process:::daily_hour_transactions_stat:::build_stats,0
317,process:::daily_order_payments_stat:::delivery_app_payments_stat,0
318,process:::daily_reports_date:::dump_incremental,0
319,process:::daily_stat:::build_daily_report,0
