job_name,source_tb_name,sink_location,sink_db_name,sink_tb_name
build_corona_weekly_stats_ratio,address_depth_1_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/address_depth_1_weekly_ratio,,
build_corona_weekly_stats_ratio,address_depth_2_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/address_depth_2_weekly_ratio,,
build_corona_weekly_stats_ratio,classification_depth_1_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/classification_depth_1_weekly_ratio,,
build_corona_weekly_stats_ratio,classification_depth_2_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/classification_depth_2_weekly_ratio,,
crefia_business_meta,business_meta,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/results/crefia_business_meta,,
pos_menus_tok_k,pos_app_menus,s3://kcd-data/raw/pos/pos_menu_top_k,,
delivery_app_payments_stat,weekly_order_payments_stat,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_payments_stat,,
delivery_app_payments_stat,monthly_order_payments_stat,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_payments_stat,,
delivery_app_payments_stat,daily_order_payments_stat,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_payments_stat,,
approvals,businesses,s3://kcd-data-staging/raw/etl/snowdon/card_sales/tmp/approvals,,
approvals,card_merchants,s3://kcd-data-staging/raw/etl/snowdon/card_sales/tmp/approvals,,
approvals,unique_approvals,s3://kcd-data-staging/raw/etl/snowdon/card_sales/tmp/approvals,,
build_user_visit_info,visits,s3://kcd-de-production/service/market_area/analysis/visit_pairs,,
build_user_visit_info,visits,s3://kcd-de-production/service/market_area/analysis/visit_user_type,,
dump_db_goose_incremental,card_payments,s3://kcd-de-production/raw/db/goose/incremental/card_payments,goose,card_payments
dump_db_goose_incremental,access_logs,s3://kcd-de-production/raw/db/goose/incremental/access_logs,goose,access_logs
dump_db_goose_incremental,user_events,s3://kcd-de-production/raw/db/goose/incremental/user_events,goose,user_events
match_to_transactions,transaction_candidates,s3://kcd-de-staging/raw/etl/snowdon/card_sales/transactions,,
build_corona_weekly_stats,transactions_stat_with_meta,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/weekly_txns,,
build_corona_weekly_stats,targets,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/weekly_txns,,
build_sales_stat,regions,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
build_sales_stat,regions_stat,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
build_sales_stat,classifications_stat,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
build_sales_stat,classification_tree,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
build_sales_stat,total_stat,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
